"DepartmentID","LocationID","Headcount","SnapshotDate","DepartmentName","LocationName","Region"
1,1,3,2024-01-01,"Executive","Las Vegas","West"
1,2,3,2024-01-01,"Executive","Phoenix","West"
1,3,8,2024-01-01,"Executive","Austin","South"
1,4,7,2024-01-01,"Executive","Chicago","Midwest"
1,5,5,2024-01-01,"Executive","Atlanta","South"
1,6,4,2024-01-01,"Executive","Seattle","West"
1,7,4,2024-01-01,"Executive","Denver","West"
1,8,6,2024-01-01,"Executive","Nashville","South"
1,9,5,2024-01-01,"Executive","Miami","South"
1,10,10,2024-01-01,"Executive","Remote-East","East"
1,11,5,2024-01-01,"Executive","Remote-Central","Central"
1,12,8,2024-01-01,"Executive","Remote-West","West"
2,1,231,2024-01-01,"Engineering","Las Vegas","West"
2,2,182,2024-01-01,"Engineering","Phoenix","West"
2,3,267,2024-01-01,"Engineering","Austin","South"
2,4,170,2024-01-01,"Engineering","Chicago","Midwest"
2,5,177,2024-01-01,"Engineering","Atlanta","South"
2,6,181,2024-01-01,"Engineering","Seattle","West"
2,7,157,2024-01-01,"Engineering","Denver","West"
2,8,140,2024-01-01,"Engineering","Nashville","South"
2,9,162,2024-01-01,"Engineering","Miami","South"
2,10,165,2024-01-01,"Engineering","Remote-East","East"
2,11,192,2024-01-01,"Engineering","Remote-Central","Central"
2,12,152,2024-01-01,"Engineering","Remote-West","West"
3,1,72,2024-01-01,"Product","Las Vegas","West"
3,2,49,2024-01-01,"Product","Phoenix","West"
3,3,64,2024-01-01,"Product","Austin","South"
3,4,45,2024-01-01,"Product","Chicago","Midwest"
3,5,39,2024-01-01,"Product","Atlanta","South"
3,6,59,2024-01-01,"Product","Seattle","West"
3,7,45,2024-01-01,"Product","Denver","West"
3,8,53,2024-01-01,"Product","Nashville","South"
3,9,45,2024-01-01,"Product","Miami","South"
3,10,53,2024-01-01,"Product","Remote-East","East"
3,11,43,2024-01-01,"Product","Remote-Central","Central"
3,12,46,2024-01-01,"Product","Remote-West","West"
4,1,57,2024-01-01,"IT","Las Vegas","West"
4,2,51,2024-01-01,"IT","Phoenix","West"
4,3,78,2024-01-01,"IT","Austin","South"
4,4,48,2024-01-01,"IT","Chicago","Midwest"
4,5,51,2024-01-01,"IT","Atlanta","South"
4,6,67,2024-01-01,"IT","Seattle","West"
4,7,42,2024-01-01,"IT","Denver","West"
4,8,44,2024-01-01,"IT","Nashville","South"
4,9,54,2024-01-01,"IT","Miami","South"
4,10,54,2024-01-01,"IT","Remote-East","East"
4,11,50,2024-01-01,"IT","Remote-Central","Central"
4,12,49,2024-01-01,"IT","Remote-West","West"
5,1,35,2024-01-01,"Finance","Las Vegas","West"
